MOE-433,0.121791,0.092413,0.072784,0.060078,0.032006,0.015339,0.00799,0.006923,0.00859,-0.018406,-0.001624,-0.007943,0.015609,0.003303,-0.007872,0.013657,0.012908,-0.00076,0.004902,0.004002,-0.004617,-0.002844,0.001356,-0.005302,0.002036
MOE-445,0.120652,0.085304,0.075047,0.055556,0.028005,0.020638,0.009165,0.013846,-0.013294,-0.033896,0.006658,-0.009591,0.019177,0.025598,-0.015336,-0.01538,-0.008736,0.004181,-0.005154,-0.002251,0.006114,0.005935,0.0053,0.001807,-0.006945
MOE-450,0.125205,0.091398,0.072407,0.062662,0.024004,0.012271,0.009165,0.016384,-0.000818,-0.026789,0.006333,-0.004196,0.014569,0.011973,-0.0057,-0.014187,-0.002347,0.003167,-0.007542,-0.006503,-0.003619,-0.009398,0.002835,-0.005904,0.001676
MOE-451,0.132035,0.082258,0.075047,0.068799,0.028313,0.025658,0.012221,0.016845,-0.00409,-0.019499,-0.001461,-0.005095,0.015758,0.011698,-0.016015,-0.000398,0.005085,-0.002534,0.004148,-0.004252,0.005366,-0.006059,0.005669,-0.000482,0.012334
MOE-452,0.121791,0.091398,0.071276,0.059109,0.024928,0.020359,0.00752,0.016384,-0.010635,-0.033349,-0.008119,-0.009741,0.016353,0.014863,-0.016829,-0.002254,0.001825,-0.003294,0.004902,-0.002126,-0.000374,-0.003957,0.006286,0.00253,0.003233
MOE-455,0.12862,0.092413,0.070522,0.059755,0.025851,0.02008,0.011281,0.016845,0.000818,-0.028429,0.000974,-0.010341,0.021853,0.018854,-0.010858,0.000398,0,-0.000887,0.001508,0.000625,-0.001497,0.002473,0.006409,0.000241,-0.001916
MOE-475,0.133173,0.08632,0.080327,0.072998,0.023081,0.019801,0.00423,0.020538,0.003681,-0.030616,0.000974,-0.009292,0.018137,0.018854,-0.017508,-0.01127,-0.00013,-0.003421,0.001006,-0.001251,0.000125,0.000124,0.009983,-0.002289,-0.008861
MOE-485,0.12862,0.079211,0.070899,0.070091,0.028005,0.019243,0.013631,0.011769,-0.009817,-0.023691,0.000487,-0.017684,0.016353,0.008945,-0.013165,0.014585,0.012256,0.003927,0.009553,0.006753,-0.006489,-0.000371,0.005053,-0.000241,0.012693
MOE-491,0.125205,0.08632,0.06939,0.064923,0.030467,0.022311,0.014101,0.013615,-0.012885,-0.022597,-0.00341,-0.008992,0.012042,0.014038,-0.010722,-0.001724,0.004303,0.003927,0.000628,-0.002251,-0.007362,-0.006801,0.007025,-0.001928,0.007664
MOE-492,0.133173,0.093429,0.075801,0.060724,0.019696,0.023985,0.00752,0.009923,-0.003886,-0.027335,-0.003085,-0.014387,0.018137,0.01156,-0.012893,-0.007027,-0.005346,-0.001647,0.002514,0.000875,0.002371,-0.003957,0.005916,-0.010483,0.00012
MOE-495,0.133173,0.106631,0.069013,0.078489,0.026159,0.02008,0.00846,0.014307,0.008795,-0.032256,-0.005359,-0.01094,0.019177,0.020368,-0.010586,0.002254,-0.000522,0.004434,0.005028,0.006253,0.000749,0.00136,0.008997,-0.006868,0.002515
MOE-497,0.126344,0.079211,0.075047,0.0646,0.030159,0.020638,0.0047,0.011307,-0.009408,-0.033896,0.006008,-0.007793,0.023042,0.015551,-0.012079,0.001458,0.000652,-0.003927,0.004651,-0.002626,-0.002371,0.005193,0.003451,-0.003374,-0.001317
MOE-001,0.125205,0.080227,0.077687,0.060724,0.028313,0.021753,0.011751,0.014307,-0.005318,-0.028611,0.00406,-0.007793,0.023042,0.01734,-0.015336,0.001591,0.004042,0.00114,0.000628,-0.005753,-0.004243,-0.011871,-0.001849,-0.01205,0.003952
MOE-002,0.122929,0.071087,0.062225,0.072675,0.020311,0.015618,0.016451,0.014769,-0.00409,-0.028247,0.00341,-0.007343,0.022002,0.003303,-0.008279,-0.002519,-0.000391,0.004434,0.002388,-0.006628,-0.006988,-0.008532,0.004314,-0.009037,0.003233
MOE-010,0.125205,0.070072,0.075047,0.063954,0.013541,0.015618,0.00846,0.013153,-0.006749,-0.026424,-0.001624,-0.01079,0.016055,0.006606,-0.007057,0.004641,0.019818,0.004054,-0.001383,0.009254,0.000125,0.007419,0.000739,-0.005784,-0.003952
MOE-036,0.127482,0.082258,0.070522,0.063308,0.021542,0.021475,0.015746,0.009923,-0.002863,-0.028976,0.002761,-0.006444,0.010109,0.009771,-0.011536,-0.004906,0.007432,-0.004941,-0.008296,0.005127,-0.005865,-0.003833,-0.003697,-0.00723,0.000838
MOE-043,0.121791,0.073118,0.07467,0.066538,0.019388,0.024542,0.013866,0.011769,-0.003886,-0.029158,0.001137,-0.014237,0.016947,0.011285,-0.014929,0.003315,0.006128,-0.010262,0.002891,0.005878,-0.008485,-0.001731,0.007518,-0.005061,0.000958
MOE-045,0.126344,0.075149,0.073161,0.06783,0.023081,0.01757,0.00799,0.010153,-0.007976,-0.029887,0.004222,-0.01109,0.017245,0.007982,-0.011808,-0.000133,0.003651,-0.000127,-0.002011,-0.000875,0.007362,-0.003215,-0.0053,-0.013255,0.000718
Utishie1,0.12862,0.08632,0.071276,0.072675,0.024928,0.01757,0.00893,0.014999,-0.00409,-0.033349,-0.006008,-0.011989,0.022894,0.009771,-0.004886,-0.001326,0.003781,-0.002407,0.004022,-0.003627,-0.005989,0.000866,-0.001479,-0.002289,0.001317
Utishie2,0.130897,0.090382,0.07467,0.06783,0.020927,0.023706,0.00846,0.011769,0,-0.019864,0.004872,-0.007793,0.01888,0.009083,-0.013708,0.007027,0.018515,-0.004054,-0.00176,0.006628,-0.003619,0.000371,0.013188,-0.000843,0.002634
Utishie3,0.125205,0.079211,0.076555,0.068799,0.017234,0.015339,0.00987,0.012692,-0.003886,-0.029887,0.005196,-0.017684,0.021704,0.008808,-0.00855,0.00716,0.012126,-0.001394,0.000377,0.001251,-0.00287,0.001484,0.008011,-0.001687,-0.00455
Utishie4,0.122929,0.070072,0.064111,0.066861,0.018465,0.026774,0.01034,0.014769,-0.005113,-0.021504,0.003897,-0.012739,0.015907,0.012111,-0.012215,0.001061,0.002347,0.000507,0.004902,0.000125,-0.007612,-0.002102,0.007641,0.008314,-0.002754
Utishie5,0.129758,0.073118,0.07731,0.069445,0.021542,0.023706,0.012691,0.010846,-0.007976,-0.026242,0.000487,-0.007493,0.017988,0.006881,-0.005157,0.000663,-0.00352,0.003927,-0.001383,-0.006378,-0.000873,-0.00272,0.001725,0.006989,-0.00467
Utishie6,0.120652,0.088351,0.07467,0.072998,0.020619,0.025379,0.009165,0.009,-0.007976,-0.033531,0.002273,-0.006444,0.013082,0.003028,-0.008822,0.00716,0.022817,-0.002407,-0.003017,0.001376,-0.008485,0.000742,0.002218,-0.005904,0.006466
Utishie7,0.125205,0.083273,0.073916,0.065892,0.027697,0.014502,0.012691,0.010615,-0.011249,-0.02934,-0.001461,-0.014837,0.023786,0.009496,-0.009365,0.005038,0.019036,0.000887,-0.001885,-0.004002,-0.001872,-0.005564,0.001849,-0.001205,-0.006347
Utishie8,0.119514,0.093429,0.069767,0.064923,0.022466,0.015339,0.008695,0.009923,-0.000614,-0.027518,-0.001786,-0.005095,0.018137,0.016102,-0.014658,-0.01074,-0.017341,0.000633,-0.002263,-0.002376,-0.003619,0.005564,-0.003081,-0.008314,-0.006107
Utishie9,0.119514,0.09546,0.077687,0.069768,0.023389,0.020638,0.00705,0.015461,-0.007363,-0.026789,0.000812,-0.008393,0.020069,0.023533,-0.009229,-0.001989,-0.004955,-0.000253,-0.002137,-0.000375,-0.008235,-0.00272,0.004067,-0.008676,0.006227
Utishie10,0.125205,0.090382,0.079572,0.070091,0.025543,0.019243,0.014101,0.015692,-0.001023,-0.0277,0.002111,-0.006294,0.009217,0.00812,-0.007465,0,0.004303,0.000253,-0.001257,-0.000125,-0.010357,0.004451,0.001972,-0.005543,-0.000958
MiddleSura1,0.129758,0.073118,0.07467,0.066215,0.01508,0.02008,0.0094,0.005769,-0.006749,-0.029522,-0.000162,-0.007493,0.009217,0.001789,-0.015472,0.010475,0.018645,-0.001394,0,0.00988,0.000374,-0.003091,-0.001725,-0.011447,0.000958
